S	M	T	W	R	F	S
0	7	0	0	3	2	0	
0	5	1	0	3	1	0	
0	1	1	4	2	0	0	
0	1	1	1	0	2	0	
0	2	1	0	1	2	0	
0	0	5	3	2	0	0	
0	1	3	2	1	0	0	
0	0	0	0	0	0	0	
0	0	1	1	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	17	17	12	15	8	0	

S	M	T	W	R	F	S
0	0	1	1	0	0	0	
0	0	3	1	1	0	0	
0	2	6	2	4	2	0	
0	2	5	1	0	2	0	
0	4	0	3	2	0	0	
0	12	2	2	5	0	0	
0	2	2	3	2	1	0	
0	2	1	2	2	2	0	
0	0	2	1	0	0	0	
0	0	0	4	2	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	24	22	20	19	7	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	1	0	1	0	
0	0	4	0	3	1	0	
0	0	2	2	4	0	0	
0	0	4	0	3	2	0	
0	0	5	4	3	1	0	
0	0	1	2	3	0	0	
0	0	1	1	4	0	0	
0	0	1	2	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	18	12	20	5	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	2	1	1	1	0	0	
0	0	7	0	2	0	0	
0	3	0	3	2	0	0	
0	1	3	2	0	1	0	
0	3	11	1	5	0	0	
0	0	2	1	2	1	0	
0	0	0	1	1	0	0	
0	0	0	0	3	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
